name,street,houseNumber,postalCode,city,country,coordinats/0,coordinats/1
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Główna 32,32,42-772,Łagiewniki Wielkie,Poland,50.714191650000004,18.59948894753639
Parafia Rzymskokatolicka Świętej Katarzyny,Zawadzkiego 6,6,42-772,Pawonków,Poland,50.6932197,18.581576737172156
Parafia Rzymskokatolicka Matki Boskiej Różańcowej,Wiejska 80,80,44-164,Rzeczyce,Poland,50.35589,18.56296
Parafia Rzymskokatolicka Wszystkich Świętych,Kościelna 2,2,44-160,Bojszów,Poland,50.33383765,18.488607892641404
Parafia Rzymskokatolicka Świętego Marcina  Biskupa,Wiejska 67,67,44-120,Paczyna,Poland,50.40869415,18.562141099772735
Parafia Rzymskokatolicka Niepokalanego Poczęcia Najświętszej Maryi Panny,Gliwicka 46,46,44-171,Pławniowice,Poland,50.384607450000004,18.477622928083726
Parafia Rzymskokatolicka Narodzenia Świętego Jana Chrzciciela i Matki Boskiej Częstochowskiej,Parkowa 5,5,44-172,Poniszowice,Poland,50.4095501,18.463044297090327
Parafia Rzymskokatolicka Trójcy Świętej,Wiejska 9,9,44-156,Rachowice,Poland,50.2943722,18.49387148079235
Parafia Rzymskokatolicka Świętego Mikołaja,Szkolna 8B,8B,44-160,Rudno,Poland,50.34823965,18.458448951403987
Parafia Rzymskokatolicka Świętego Józefa Robotnika,Gliwicka 28,28,44-171,Taciszów,Poland,50.3733,18.53034
Parafia Rzymskokatolicka Narodzenia Świętego Jana Chrzciciela,Tarnogórska 3,3,42-674,Kamieniec,Poland,50.40340905,18.713653700000002
Parafia Rzymskokatolicka Świętej Katarzyny Aleksandryjskiej,Bytomska 15,15,42-674,Karchowice,Poland,50.39410495,18.682606161366422
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,1 Maja 12,12,42-674,Łubie,Poland,50.452834550000006,18.647546950666634
Parafia Rzymskokatolicka Świętego Floriana,Wolności 12,12,42-674,Miedary,Poland,50.4520037,18.7760916
Parafia Rzymskokatolicka Matki Boskiej Nieustającej Pomocy,Kolejowa 10,10,44-120,Pyskowice,Poland,50.3887307,18.6214772
Parafia Rzymskokatolicka Świętego Mikołaja,Józefa Poniatowskiego 10,10,44-120,Pyskowice,Poland,50.399142299999994,18.62623014467872
Parafia Rzymskokatolicka Nawrócenia Świętego Pawła,Józefa Wieczorka 3,3,44-120,Pyskowice,Poland,50.40648125,18.62539117426396
Parafia Rzymskokatolicka Trójcy Świętej,Bytomska 167,167,42-674,Wieszowa,Poland,50.38336565,18.756226175013595
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Kościelna 4,4,42-674,Zbrosławice,Poland,50.41669495,18.75253847396567
Parafia Rzymskokatolicka Świętej Jadwigi,Mikulczycka 16,16,42-674,Ziemięcice,Poland,50.3695862,18.710239015237224
Parafia Rzymskokatolicka Świętego Marcina Biskupa i Wyznawcy,Szkolna 27,27,42-714,Hadra,Poland,50.6977337,18.84005144508162
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Nowa 1B,1B,42-284,Herby,Poland,50.7454452,18.877706075658452
Parafia Rzymskokatolicka Świętego Wawrzyńca,Wiejska 1,1,42-713,Kochanowice,Poland,50.7074566,18.7526084
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Wspólna 1,1,42-713,Kochcice,Poland,50.706122300000004,18.69275125
Parafia Rzymskokatolicka Matki Boskiej Matki Kościoła,Poprzeczna 2A,2A,42-714,Lisów,Poland,50.73086,18.79885
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Klonowa 5,5,42-284,Olszyna,Poland,50.717848599999996,18.893447674936144
Parafia Rzymskokatolicka Znalezienia Krzyża Świętego i Świętej Katarzyny,Zielona 7,7,42-700,Rusinowice,Poland,50.64276875,18.7700776323867
Parafia Rzymskokatolicka Świętego Józefa,Powstańców Śląskich 95,95,42-700,Sadów,Poland,50.6718966,18.744382769776678
Parafia Rzymskokatolicka Najświętszej Maryi Panny Królowej Różańca Świętego,Wolności 1,1,42-283,Boronów,Poland,50.6725153,18.909079703614157
Parafia Rzymskokatolicka Świętej Anny,Torowa 45,45,42-600,Tarnowskie Góry,Poland,50.4297825,18.8384231
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Gliwicka 14,14,42-600,Tarnowskie Góry,Poland,50.4426724,18.8535427
Parafia Rzymskokatolicka Świętego Józefa Robotnika,Pomorska 24,24,42-600,Tarnowskie Góry,Poland,50.44420995,18.83320742710002
Parafia Rzymskokatolicka Matki Boskiej Królowej Pokoju,Powstańców Śląskich 2,2,42-600,Tarnowskie Góry,Poland,50.4469013,18.8528789
Parafia Rzymskokatolicka Matki Boskiej Uzdrowienie Chorych,Różana 2,2,42-600,Tarnowskie Góry,Poland,50.4367199,18.8662126
"Parafia Rzymskokatolicka Matki Boskiej Piekarskiej, Matki Sprawiedliwości i Miłości Społecznej",Opatowicka 112,112,42-612,Tarnowskie Góry,Poland,50.450784,18.828671063425624
Parafia Rzymskokatolicka Matki Boskiej Królowej Wszechświata,Jagodowa 69,69,42-609,Tarnowskie Góry,Poland,50.4966432,18.8136382
Parafia Rzymskokatolicka Świętego Mikołaja,Wincentego Witosa 120,120,42-603,Tarnowskie Góry,Poland,50.4214286,18.8088403
Parafia Rzymskokatolicka Świętego Marcina,Mieczysława Niedziałkowskiego 2,2,42-612,Tarnowskie Góry,Poland,50.4403414,18.8205032
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa i Matki Boskiej Fatimskiej,Kościelna 36,36,42-609,Tarnowskie Góry,Poland,50.4753181,18.8042878
Parafia Rzymskokatolicka Matki Boskiej Bolesnej,Armii Krajowej 10,10,42-690,Boruszowice,Poland,50.509661,18.77474579452217
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Szkolna 7,7,42-690,Koty,Poland,50.5524375,18.7022716
Parafia Rzymskokatolicka Świętego Józefa,1 Maja 6,6,42-693,Krupski Młyn,Poland,50.568771049999995,18.620976047348485
Parafia Rzymskokatolicka Wszystkich Świętych,Szkolna 3,3,44-187,Wielowieś,Poland,50.50918195,18.617344449999997
Parafia Rzymskokatolicka Świętego Mikołaja,Główna 1,1,44-187,Świbie,Poland,50.5102827,18.5376424
Parafia Rzymskokatolicka Świętej Katarzyny Aleksandryjskiej,Zamkowa 1,1,44-180,Toszek,Poland,50.455687100000006,18.51658149999999
Parafia Rzymskokatolicka Świętego Antoniego,Kościelna 2,2,42-690,Tworóg,Poland,50.53114875,18.721816647713098
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Kościelna 5,5,44-187,Wielowieś,Poland,50.5101431,18.61691295
Parafia Rzymskokatolicka Trójcy Przenajświętszej,Wiejska 1,1,44-187,Wiśnicze,Poland,50.484447450000005,18.57372645794073
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Powstańców Śląskich 60,60,42-690,Wojska,Poland,50.4858502,18.6621873
Parafia Rzymskokatolicka Świętego Stanisława Biskupa i Męczennika,Kościelna 10,10,42-287,Babienica,Poland,50.621007899999995,18.96674899589628
Parafia Rzymskokatolicka Matki Boskiej Fatimskiej,Koszęcińska 26,26,42-660,Kalety,Poland,50.5798199,18.8607543
Parafia Rzymskokatolicka Świętego Józefa,Księdza Rogowskiego 24,24,42-660,Kalety,Poland,50.55823395,18.880209506191484
Parafia Rzymskokatolicka Świętego Franciszka z Asyżu,Tarnogórska 125,125,42-660,Kalety,Poland,50.5519622,18.9552405
Parafia Rzymskokatolicka Najświętszego Ciała i Krwi Chrystusa,Tysiąclecia 2,2,42-287,Kamieńskie Młyny,Poland,50.6422202,19.024965
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Powstańców Śląskich 15,15,42-286,Koszęcin,Poland,50.6369072,18.841429891821427
Parafia Rzymskokatolicka Trójcy Świętej,Świętej Trójcy 3,3,42-286,Koszęcin,Poland,50.621194,18.8416029
Parafia Rzymskokatolicka Świętego Jakuba Starszego Apostoła,Lompy 76,76,42-287,Lubsza,Poland,50.611491150000006,19.000000293499227
Parafia Rzymskokatolicka Świętego Krzyża,Lubliniecka 47,47,42-288,Strzebiń,Poland,50.61518925,18.90368989790146
Parafia Rzymskokatolicka Świętej Katarzyny,Rynek 5,5,42-289,Woźniki,Poland,50.586916200000005,19.06035825935672
Parafia Rzymskokatolicka Świętego Andrzeja,Wolności 196,196,41-800,Zabrze,Poland,50.306073749999996,18.768640329622816
Parafia Rzymskokatolicka Świętej Anny,3 Maja 18,18,41-800,Zabrze,Poland,50.30034245,18.78815815172637
Parafia Rzymskokatolicka Świętego Antoniego,Józefa Rymera 16,16,41-800,Zabrze,Poland,50.2913486,18.795464080496714
Parafia Rzymskokatolicka Ducha Świętego,ks. Antoniego Tomeczka 1,1,41-800,Zabrze,Poland,50.309253850000005,18.797163429528588
Parafia Rzymskokatolicka Świętego Franciszka,Wolności 446,446,41-800,Zabrze,Poland,50.2937165,18.81586401362549
Parafia Rzymskokatolicka Świętej Jadwigi,Wolności 504,504,41-800,Zabrze,Poland,50.297854,18.82985627380834
Parafia Rzymskokatolicka Świętego Józefa,Franklina Roosevelta 104,104,41-800,Zabrze,Poland,50.2952669,18.770614638097733
Parafia Rzymskokatolicka Świętego Kamila,Pawła Dubiela 10,10,41-800,Zabrze,Poland,50.30947295,18.77872018435134
Parafia Rzymskokatolicka Krzyża Świętego,Jaskółcza 37,37,41-800,Zabrze,Poland,50.2854142,18.78293992249253
Parafia Rzymskokatolicka Świętego Macieja Apostoła,Ludwika Kondratowicza 15a,15a,41-800,Zabrze,Poland,50.30970859999999,18.74231152238766
Parafia Rzymskokatolicka Świętego Floriana,Stawowa 1,1,42-674,Czekanów,Poland,50.3470589,18.7358595
Parafia Rzymskokatolicka Niepokalanego Serca Najświętszej Maryi Panny,Franciszkańska 1,1,41-819,Zabrze,Poland,50.3118743,18.76849088992612
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Bytomska 37,37,41-800,Zabrze,Poland,50.3184926,18.81885945616179
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Bytomska 111b,111b,41-803,Zabrze,Poland,50.3201723,18.8250529
Parafia Rzymskokatolicka Matki Boskiej Różańcowej,Szczecińska 27,27,41-800,Zabrze,Poland,50.36157485,18.76079779645964
Parafia Rzymskokatolicka Świętej Teresy od Dzieciątka Jezus,św. Teresy 2,2,41-807,Zabrze,Poland,50.3328167,18.77787113738671
Parafia Rzymskokatolicka Świętego Wawrzyńca,Mariacka 1,1,41-807,Zabrze,Poland,50.3381885,18.779207107456646
Parafia Rzymskokatolicka Świętego Wojciecha,Jana Heweliusza 4,4,41-818,Zabrze,Poland,50.3233941,18.776348148118668
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Kardynała Stefana Wyszyńskiego 14,14,41-808,Zabrze,Poland,50.3642981,18.79588634468361
Parafia Rzymskokatolicka Świętej Barbary,Pod Borem 20,20,41-800,Zabrze,Poland,50.34383735,18.835839600047493
Parafia Rzymskokatolicka Świętej Katarzyny,Leśna 1,1,42-600,Tarnowskie Góry,Poland,50.45169065,18.879560256965235
Parafia Rzymskokatolicka Matki Boskiej Częstochowskiej,Ks. Jana Rudola 7,7,42-600,Tarnowskie Góry,Poland,50.4629631,18.8558841
Parafia Rzymskokatolicka Przemienienia Pańskiego,Ks. Wiktora Sojki 3,3,42-605,Tarnowskie Góry,Poland,50.42534835,18.869358816091953
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Żyglińska 17,17,42-610,Miasteczko Śląskie,Poland,50.47287,18.99408
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Dworcowa 1,1,42-610,Miasteczko Śląskie,Poland,50.49265,18.92192
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Główna 3,3,42-620,Nakło Śląskie,Poland,50.44097215,18.899468793366683
Parafia Rzymskokatolicka Świętego Brata Alberta,św. Brata Alberta 10,10,42-622,Nowe Chechło,Poland,50.45634,18.92651
Parafia Rzymskokatolicka Najświętszej Maryi Panny Jasnogórskiej,Wieczorków 82a,82a,42-622,Orzech,Poland,50.42094,18.92449
Parafia Rzymskokatolicka Chrystusa Króla,Kościelna 33,33,42-622,Świerklaniec,Poland,50.4431422,18.9449612
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,św. Marka 21,21,42-610,Miasteczko Śląskie,Poland,50.48723,18.94718
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Piękna 8,8,40-591,Katowice,Poland,50.2430602,18.998310798429316
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Mikołowska 32,32,40-066,Katowice,Poland,50.253693850000005,19.010100444156215
Parafia Rzymskokatolicka Niepokalanego Poczęcia Najświętszej Maryi Panny,Plac ks. Emila Szramka 1,1,40-014,Katowice,Poland,50.25695115,19.029562849583336
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Graniczna 26,26,40-018,Katowice,Poland,50.2547687,19.034704250645774
Parafia Rzymskokatolicka Przemienienia Pańskiego,Sokolska 12,12,40-086,Katowice,Poland,50.2622576,19.015116751308035
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Misjonarzy Oblatów MN 12,12,40-129,Katowice,Poland,50.2714122,19.021264292648468
Parafia Rzymskokatolicka Świętego Michała Archanioła,Gawronów 20,20,40-527,Katowice,Poland,50.2366375,19.006927562392033
Parafia Rzymskokatolicka Opatrzności Bożej,1 Maja 52,52,40-287,Katowice,Poland,50.257828950000004,19.045214181575233
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Kościelna 14,14,41-400,Mysłowice,Poland,50.203531850000005,19.161213119511167
Parafia Rzymskokatolicka Matki Bożej Bolesnej,Generała Jerzego Ziętka 25,25,41-400,Mysłowice,Poland,50.2242196,19.15464865
Parafia Rzymskokatolicka Wszystkich Świętych,Długa 70,70,41-400,Mysłowice,Poland,50.17677545,19.216293460701515
Parafia Rzymskokatolicka Niepokalanego Poczęcia Najświętszej Maryi Panny i Świętego Maksymiliana Kolbego,Cegielniana 7a,7a,41-400,Mysłowice,Poland,50.236525,19.117132
Parafia Rzymskokatolicka Świętego Józefa,Polskiego Czerwonego Krzyża 209,209,41-400,Mysłowice,Poland,50.18349915,19.1426367785049
Parafia Rzymskokatolicka Matki Bożej Częstochowskiej,Górnośląska 5,5,41-400,Mysłowice,Poland,50.1882681,19.159225651419977
Parafia Rzymskokatolicka Ciała i Krwi Pańskiej,Murckowska 147,147,41-400,Mysłowice,Poland,50.1710941,19.1157084
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Starokościelna 3,3,41-400,Mysłowice,Poland,50.24272685,19.139191476862614
Parafia Rzymskokatolicka Świętego Jacka,Henryka Sienkiewicza 45,45,41-400,Mysłowice,Poland,50.2040766,19.1221165
Parafia Rzymskokatolicka Krzyża Świętego,Bernarda Świerczyny 1,1,41-400,Mysłowice,Poland,50.247460849999996,19.13317871625224
Parafia Rzymskokatolicka Ścięcia Świętego Jana Chrzciciela,Mieczysława Jastruna 15,15,41-400,Mysłowice,Poland,50.2430713,19.11108966487567
Parafia Rzymskokatolicka Matki Bożej Fatimskiej,Wiosny Ludów 46,46,41-400,Mysłowice,Poland,50.19777235,19.10361223924147
Parafia Rzymskokatolicka Świętego Mikołaja,ks. Franciszka Górka 58,58,43-190,Mikołów,Poland,50.18516605,18.79764583737864
Parafia Rzymskokatolicka Świętego Mikołaja,Gliwicka 354,354,43-190,Mikołów,Poland,50.2271892,18.808247872804877
Parafia Rzymskokatolicka Świętego Urbana Papieża i Męczennika,Janiny Porazińskiej 12,12,43-190,Mikołów,Poland,50.187571250000005,18.915321352358482
Parafia Rzymskokatolicka Świętego Wojciecha,ks. kard. Stefana Wyszyńskiego 2,2,43-190,Mikołów,Poland,50.169039850000004,18.90890950084561
Parafia Rzymskokatolicka Świętego Wawrzyńca,Zamkowa 4,4,43-190,Mikołów,Poland,50.17713695,18.856366306437074
Parafia Rzymskokatolicka Najświętszej Maryi Panny Matki Zbawiciela,Salwatorianów 2,2,43-190,Mikołów,Poland,50.17574005,18.884370703484713
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Staromiejska 91,91,43-190,Mikołów,Poland,50.2085587,18.821833999350392
Parafia Rzymskokatolicka Świętego Antoniego z Padwy,Zielona 1,1,43-190,Mikołów,Poland,50.17954345,18.89238043369771
Parafia Rzymskokatolicka Matki Bożej Częstochowskiej,Jesionowa 11,11,43-190,Mikołów,Poland,50.20198325,18.864540908146438
Parafia Rzymskokatolicka Świętego Antoniego z Padwy,ks. Jana Kapicy 2,2,41-100,Siemianowice Śląskie,Poland,50.301464249999995,19.0237978
Parafia Rzymskokatolicka Zmartwychwstania Pańskiego,Michałkowicka 37A,37A,41-100,Siemianowice Śląskie,Poland,50.3097888,19.0177344
Parafia Rzymskokatolicka Ducha Świętego,Węglowa 7A,7A,41-106,Siemianowice Śląskie,Poland,50.3058635,19.0023019
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Polna 17,17,41-103,Siemianowice Śląskie,Poland,50.3295767,19.0242013
Parafia Rzymskokatolicka Świętego Jana Sarkandra,Bańgowska 25,25,41-103,Siemianowice Śląskie,Poland,50.3299179,19.0419142
Parafia Rzymskokatolicka Świętego Michała Archanioła,Kościelna 1,1,41-103,Siemianowice Śląskie,Poland,50.318865,19.0026678
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Żniwna 2,2,41-103,Siemianowice Śląskie,Poland,50.3379425,19.0511217
Parafia Rzymskokatolicka Krzyża Świętego,Powstańców 2,2,41-100,Siemianowice Śląskie,Poland,50.301759,19.0337968
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Warszawska 295,295,43-155,Bieruń,Poland,50.0738054,19.1808471
Parafia Rzymskokatolicka Świętego Bartłomieja Apostoła,Krakowska 3,3,43-150,Bieruń,Poland,50.0925943,19.092635678079887
Parafia Rzymskokatolicka Narodzenia Świętego Jana Chrzciciela,Szczęsna 4,4,43-220,Bojszowy,Poland,50.05880635,19.095981465724343
Parafia Rzymskokatolicka Najświętszej Maryi Panny Uzdrowienia Chorych,Sierpowa 36,36,43-220,Bojszowy Nowe,Poland,50.05797715,19.050210556643275
Parafia Rzymskokatolicka Świętej Barbary,Kościelna 3,3,43-155,Bieruń,Poland,50.0782946,19.1619414
